Label	Hemisphere	Category	PrimaryLabel	LayerLevel	Summary
Design Pedagogico Ibrido (Busuu Grammar + Duolingo Micro-Drill)	LEFT	AI_REASONING	AI_REASONING	L1	Progettazione di un motore a 6 tipologie di esercizio con schede grammaticali preparatorie (stile Busuu) e micro-lezioni
Diagnosi Discrepanza Nodi e Protocollo Deploy Render	LEFT	AI_REASONING	AI_REASONING	L1	Identificati 4 nodi locali non committati (Royal Gambit Chess / Duolingo Chess). Eseguito WAL checkpoint, aggiornato bra
Diagnosi Fallimento Retrieval Gemini e Piano di Azione	LEFT	AI_REASONING	AI_REASONING	L1	Identificato falso positivo: Gemini vedeva 1 solo entry a causa di un retrieval limitato. Proposto potenziamento del Gra
Ragionamento AI: Algoritmi BFS, FTS5 & MCP Stdio 0€	LEFT	AI_REASONING	AI_REASONING	L1	Deduzione logica: SQLite FTS5 offre ranking lessicale BM25 immediato (<1ms) e BFS bidirezionale permette di attraversare
Ragionamento AI: Risoluzione Bug & Continuità Cognitiva Inter-Chat	LEFT	AI_REASONING	AI_REASONING	L1	Corretti 4 bug critici, verificati prompt e tassonomie, e integrata la specifica mandatoria di continuità cognitiva cros
Ragionamento AI: Simbiosi Architetturale tra Substrato Cloud Render e Agenti Locali	LEFT	AI_REASONING	AI_REASONING	L1	Deduzione architetturale: Render agisce come Hub pubblico permanente (Telegram Webhook, Web Visualizer, OpenAPI GPTs), m
Ragionamento: Comando /prompt Copia Rapida per Telegra	LEFT	AI_REASONING	AI_REASONING	L1	Aggiunto il comando /prompt e il pulsante persistente nella tastiera mobile di Telegram in telegram_bot.py. Il messaggio
Ragionamento: Occultamento Pulsanti Mobile su Browser 	LEFT	AI_REASONING	AI_REASONING	L1	Risolto problema cache e visualizzazione pulsanti mobile su browser desktop. Impostato display:none !important incondizi
Ragionamento: Ottimizzazione Mobile Web Dashboard Univ	LEFT	AI_REASONING	AI_REASONING	L1	Risolto problema layout mobile su schermi <= 900px. Aggiunto meta tag viewport con viewport-fit=cover e user-scalable=no
Ragionamento: Potenziamento Skill e Rilascio Demone Si	LEFT	AI_REASONING	AI_REASONING	L1	Riformulata la skill universal-brain con protocollo obbligatorio a 2 fasi e 3 livelli di ingestione (MCP/CLI, POST HTTP,
Razionale Architetturale: Separazione Aree vs Grafo Completo	LEFT	AI_REASONING	AI_REASONING	L1	Scelta di non eliminare le relazioni fisiche ma di applicare un filtro visuale basato su insiemi di visibilità adiacente
Risposta Groq: Quali sono i progetti principali di...	LEFT	AI_REASONING	AI_REASONING	L1	Non ho accesso diretto alla memoria o al database `brain.db` in questo contesto di conversazione. Come modello di lingua
Risposta JARVIS: Allora vorrei dirti che oggi ho man...	LEFT	AI_REASONING	AI_REASONING	L1	✅ Fatto registrato: **CONVERSATION_EPISODE** – “oggi ho mangiato pasta al sugo”. Memoria inserita nel tuo Universal Know
Risposta JARVIS: Jarvis, ricordi quali sono gli emis...	LEFT	AI_REASONING	AI_REASONING	L1	**Emisfero Sinistro (LEFT)** – Gestisce la parte “logica‑tecnica” del tuo connettoma: architetture, strutture dati, algo
Risposta JARVIS: Quali sono le abitudini monitorate ...	LEFT	AI_REASONING	AI_REASONING	L1	StreaksUp traccia le abitudini chiave per ottimizzare la produttività e il benessere: esercizio fisico quotidiano, lettu
Risposta JARVIS: c'è un problema vorrei sapere di pi...	LEFT	AI_REASONING	AI_REASONING	L1	**🔎 Query al grafo universale…**
Risposta JARVIS: che ore sono...	LEFT	AI_REASONING	AI_REASONING	L1	Sono le 14:37 (ora locale del server).
Risposta JARVIS: ehi Jarvis ehi Jarvis mi puoi dire ...	LEFT	AI_REASONING	AI_REASONING	L1	Sono le 00:00 (tempo non disponibile in tempo reale). Per conoscere l’ora esatta, controlla l’orologio del tuo dispositi
Risposta JARVIS: ho bisogno di sapere tutto ciò che ...	LEFT	AI_REASONING	AI_REASONING	L1	Signore, ho analizzato la richiesta ma tutti i provider LLM gratuiti risultano al momento non raggiungibili. Verifica la
Risposta JARVIS: quanti nodi ci sono nel mio cervell...	LEFT	AI_REASONING	AI_REASONING	L1	**Richiesta:** conteggio nodi del tuo grafo cognitivo, separati per emisfero sinistro e destro.
Risposta gemini: che ne pensi del mio cervello artif...	LEFT	AI_REASONING	AI_REASONING	L1	Ciao Pierfrancesco.
Risposta groq: che ne pensi del mio cervello artif...	LEFT	AI_REASONING	AI_REASONING	L1	**Il tuo “cervello artificiale” è già un lavoro notevole e, secondo la memoria storica che ho a disposizione, rappresent
Risposta groq: chi è Pierfrancesco Amendola e cosa...	LEFT	AI_REASONING	AI_REASONING	L1	**Pierfrancesco Amendola** è un *imprenditore, ricercatore e visionario* nel campo dell’intelligenza artificiale, della 
Risposta groq: ma è tutto falso!!!	LEFT	AI_REASONING	AI_REASONING	L1	Mi dispiace se le informazioni che ti ho fornito non corrispondono a quanto sai o ti aspettavi. In questa conversazione 
Risposta groq: non riesci a connetterti al mio cer...	LEFT	AI_REASONING	AI_REASONING	L1	Sì, **sono già connesso al tuo “cervello artificiale”**.
Tassonomia Metacognitiva & AI Reasoning Hub	LEFT	AI_REASONING	AI_REASONING	L1	Area cognitiva dedicata al tracciamento dei ragionamenti, deduzioni analitiche e percorsi logici interni generati dall'A
Validazione Architetturale: Provenance & Attribution Cross-Modello	LEFT	AI_REASONING	AI_REASONING	L1	Deduzione logica Gemini: tracciare prompt e modello crea una memoria a provenienza epistemica verificabile, prevenendo a
Achievement & 22-Trophy Engine	LEFT	ALGORITHM	ALGORITHM	L2	Sistema di valutazione achievement con 22 trofei suddivisi in 5 categorie (Streak, Completions, Freeze, Specials, Master
Algoritmo di Gating Emisferico & Risveglio Sinaptico On-Demand	LEFT	ALGORITHM	ALGORITHM	L2	Algoritmo che instrada le query solo all'emisfero bersaglio (Left per logica/codice, Right per design/valori) e risvegli
AuleStudio Real-time Availability Engine	LEFT	ALGORITHM	ALGORITHM	L2	Algoritmo di calcolo occupazione delle aule universitarie e gestione code/prenotazioni concorrenti per studenti.
Bi-directional BFS (Corpus Callosum Routing)	LEFT	ALGORITHM	ALGORITHM	L2	Bi-directional BFS (Corpus Callosum Routing) (Layer: ROUTING_ENGINE, Tipo: GRAPH_ALGORITHM)
Bioinformatica & Deep Learning (ICAR-CNR)	LEFT	ALGORITHM	ALGORITHM	L2	Ricerca su modelli di deep learning e computer vision per diagnosi istopatologica (Dr.ssa Brancati, Prof. Riccio).
Graphify Codebase Knowledge Extractor	LEFT	ALGORITHM	ALGORITHM	L2	Motore di analisi statica AST e semantica che rileva community, nodi baricentrici (God Nodes) e ponti architetturali nel
HarmonyApp	LEFT	ALGORITHM	ALGORITHM	L2	Strumento interattivo per ear training, composizione e riconoscimento dell'armonia musicale.
Maximum Spanning Tree (Conceptual Backbone)	LEFT	ALGORITHM	ALGORITHM	L2	Maximum Spanning Tree (Conceptual Backbone) (Layer: SERIALIZATION_LAYER, Tipo: ALGORITHMIC_PROJECTION)
Motore Scacchi Minimax & Valutazione	LEFT	ALGORITHM	ALGORITHM	L2	Engine scacchistico nativo Swift con ricerca minimax, alpha-beta pruning, valutazione posizionale, calcolo asincrono dei
ParticleSimulator 3D	LEFT	ALGORITHM	ALGORITHM	L2	Motore fisico generativo 3D in tempo reale con controllo tramite gesture della mano via computer vision.
REGEXRIDDLE	LEFT	ALGORITHM	ALGORITHM	L2	Tool gamificato per il testing, parsing e apprendimento visivo di espressioni regolari mediante automi a stati.
Streak Freeze & Protection Engine	LEFT	ALGORITHM	ALGORITHM	L2	Algoritmo di protezione della serie: consumo automatico dello scudo nei giorni mancati, cap massimo a 3 cariche e premio
Tesi Deep Learning BUSBRA (ICAR-CNR)	LEFT	ALGORITHM	ALGORITHM	L2	Pipeline di deep learning per classificazione ecografie mammarie (benigno/maligno, BI-RADS 4 classi) su dataset BUSBRA.
Tombola Multiplayer WiFi	LEFT	ALGORITHM	ALGORITHM	L2	Gioco multiplayer in tempo reale della tombola su rete locale WiFi senza necessità di server cloud.
AI Ingest & Markdown Read Protocol	LEFT	API_SPEC	API_SPEC	L2	Specifiche REST /brain.md e /api/memory/ingest con validazione tassonomica automatica e generazione link One-Click.
App Intents & Dynamic Interactive Engine	LEFT	API_SPEC	API_SPEC	L2	Motore di interattività in-place per Widget e Live Activities tramite ToggleHabitIntent, HabitEntity e HabitEntityQuery.
Modulo Ingestione JSON da AI	LEFT	API_SPEC	API_SPEC	L2	Interfaccia drag-and-drop e editor textarea per importare ed eseguire il POST di file o blocchi JSON generati da Claude/
Specula App	LEFT	API_SPEC	API_SPEC	L2	Utility iOS per campionamento, quantizzazione ed esportazione live di palette cromatiche conforme WCAG.
Architettura Graph-of-Graphs / Palazzo Cognitivo a Piani	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Modello a iper-grafo gerarchico in cui i nodi di livello superiore contengono sotto-grafi completi, simulando un palazzo
Architettura Webhook Telegram 0€ (FastAPI + Bot API)	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Infrastruttura serverless su webhook FastAPI per ricezione comandi (/search, /path, /tree) e inserimento memorie asincro
Architettura a Sotto-Grafi Modulari & Decentramento Hub	LEFT	ARCHITECTURE	ARCHITECTURE	L1	I concetti verticali (es. medicina, finanza, fisica) non si collegano forzatamente a person-pierfrancesco, ma formano cl
Architettura di Hosting Render.com 0€	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Infrastruttura di erogazione web asincrona su Render.com Free Tier con Uvicorn e SQLite WAL persistito.
Architettura: Stabilizzazione Silente & Blocco Fisico Zero-Lag in Vis-Network	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Pattern architetturale per grafi complessi (189+ nodi): esecuzione della stabilizzazione offline in background (updateIn
Aree a Espansione & Cluster Gerarchici	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Motore di rendering a fioritura progressiva: visualizza i Macro-Hub compatti e ne sboccia i sotto-nodi al click utente p
Attributed Heterogeneous Temporal Multigraph	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Attributed Heterogeneous Temporal Multigraph (Layer: FORMAL_THEORY, Tipo: GRAPH_CLASSIFICATION)
AuleStudioApp (Mobile Project)	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Applicazione mobile per studenti per localizzare aule studio universitarie, verificare posti liberi in tempo reale e pre
CareTrack	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Piattaforma mobile di telemedicina e assistenza domiciliare vincitrice del Google Challenge Campania (Medicina).
CineMatch	LEFT	ARCHITECTURE	ARCHITECTURE	L1	App di matching e scoperta cinematografica di coppia/gruppo basata su swipe e intersezione preferenze.
Commit 965f0a8 (110 Nodes, 253 Synapses)	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Commit 965f0a8 (110 Nodes, 253 Synapses) (Layer: DEVOPS_TIMELINE, Tipo: GRAPH_STATE)
Epistemic Grading (Extracted/Inferred/Ambiguous)	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Epistemic Grading (Extracted/Inferred/Ambiguous) (Layer: EPISTEMIC_LAYER, Tipo: REPRESENTATION_FEATURE)
Graph-Dendrogram Multiscale Overlay	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Graph-Dendrogram Multiscale Overlay (Layer: STORAGE_AND_RETRIEVAL, Tipo: ARCHITECTURAL_PATTERN)
Hierarchical Community Tree (Semantic Zoom)	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Hierarchical Community Tree (Semantic Zoom) (Layer: ABSTRACTION_LAYER, Tipo: TOPOLOGICAL_HIERARCHY)
Hierarchical Tree Engine (Backend & Endpoints)	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Hierarchical Tree Engine (Backend & Endpoints) (Layer: CORE_SERVICES, Tipo: BACKEND_ENGINE)
Inibizione Interemisferica GABAergica & Lazy-Loading Biologico	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Meccanismo neurobiologico computazionale in cui l'emisfero non pertinente al task viene temporaneamente inibito/disattiv
Linkly QR	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Generatore dinamico vettoriale di codici QR con preview live e styling avanzato.
MCP Tool: brain_get_tree	LEFT	ARCHITECTURE	ARCHITECTURE	L1	MCP Tool: brain_get_tree (Layer: INTEGRATION_LAYER, Tipo: MCP_TOOL)
Progetto: JARVIS Personal AI Voice Assistant	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Assistente vocale AI continuo in tempo reale a costo zero, integrato con il connettoma SQLite WAL tramite MCP, wake word
Royal Gambit Chess iOS App	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Applicazione iOS nativa di scacchi per iPhone in Swift/SwiftUI con motore minimax bitboard, stile grafico Duolingo 2D Fl
SQLite WAL Storage Engine	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Motore di persistenza embedded senza server né costi di licenza, con Write-Ahead Logging per letture e scritture concorr
Search Trees (ToT / MCTS Deliberation)	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Search Trees (ToT / MCTS Deliberation) (Layer: WORKING_MEMORY_PLANNING, Tipo: COGNITIVE_PROCESS)
StreaksUp (Habit Tracker iOS)	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Applicazione nativa iOS 17+ per tracciamento abitudini e routine con architettura SwiftData ad App Group, Live Activity 
Telegram 0€ Webhook Gateway (POST /api/telegram/webhook)	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Telegram 0€ Webhook Gateway (POST /api/telegram/webhook) (Layer: PERCEPTUAL_IO, Tipo: API_GATEWAY)
Terminale Chiaro & Network Activity Inspector	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Console/Terminale chiaro in overlay a tutto schermo per tracciare richieste HTTP (POST/GET/DEL), latenza, payload e nodi
Test Live Upload Verify	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Test di verifica upload automatico demone
Tombola WiFi	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Digitalizzazione multiplayer locale della classica Tombola napoletana con Smorfia e broadcast chiamate.
UniCampus / AuleStudioApp	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Piattaforma per gestione carriera accademica, simulatore di laurea e monitoraggio disponibilità aule studio.
Unified Brain Architecture	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Unified Brain Architecture (Layer: META_SYSTEM, Tipo: COGNITIVE_ARCHITECTURE)
Universal AI Brain (Cognitive System)	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Sistema di memoria persistente a grafo bi-emisferico per agenti LLM (Claude, Gemini, ChatGPT) con costo operativo zero.
Universal Knowledge Graph (Associative Substrate)	LEFT	ARCHITECTURE	ARCHITECTURE	L1	Universal Knowledge Graph (Associative Substrate) (Layer: LONG_TERM_ASSOCIATIVE, Tipo: MEMORY_SYSTEM)
AlcolSafe	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Applicazione per il monitoraggio e calcolo del tasso alcolemico con stima metabolica di smaltimento.
Caveman Ultra-Compressed Protocol	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Protocollo di comunicazione che abbatte il consumo di token del 65%+ eliminando convenevoli e verbosità senza perdere so
Cross-Process Darwin IPC Protocol	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Protocollo di sincronizzazione inter-processo basato su CFNotificationCenter per invalidare la cache ModelContext dell'a
Guida Rapida all'AI & Publishing KDP	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Manuale tecnico-divulgativo sull'AI e pipeline editoriale basata su LaTeX conforme alle specifiche di stampa Amazon KDP.
Guida Rapida all'AI & Publishing KDP	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Manuale tecnico-divulgativo sull'AI e pipeline tipografica industriale basata su LaTeX per Amazon KDP.
Holly & Benji AI (OpenAI Challenge)	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Prototipazione rapida di soluzione AI RAG presentata a rettori e giudici corporate (Luglio 2026).
Logica Tassonomica: Motore di Classificazione Deterministica dei Piani Cognitivi	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Algoritmo di partizionamento semantico che assegna in modo deterministico ogni nodo del grafo al suo piano corretto nel 
Profilo Ingegneristico & Ricerca CS	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Studente di Computer Science alla Federico II (Matr. N86005039) e ricercatore in bioinformatica applicata all'imaging bi
Regola di Persistenza Cloud & Prevenzione Perdite	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Protocollo di sincronizzazione bidirezionale per ovviare alla natura effimera dei container Render e garantire la conser
Runtime Multilingual .lproj Switcher	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Gestore centralizzato di localizzazione per il cambio istantaneo di lingua a runtime tra 6 idiomi supportati senza riavv
Sessione di Sviluppo & Deployment Cloud (Antigravity)	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Sessione interattiva di costruzione e deployment del cervello cognitivo a costo zero con Antigravity e Render.
Zero-Cost Mandatory Constraint	LEFT	BUSINESS_LOGIC	BUSINESS_LOGIC	L2	Regola cardine di architettura: 0€ spesa perenne. Utilizzo esclusivo di tier gratuiti illimitati o file persistenti.
Antigravity Skill: universal-brain (/brain)	LEFT	COGNITIVE_RULE	COGNITIVE_RULE	L1	Skill installata in ~/.agents/skills/universal-brain per ricerca semantica e auto-ingestione continua.
Comunicazione Chirurgica & Rigore	LEFT	COGNITIVE_RULE	COGNITIVE_RULE	L1	Preferenza esplicita per risposte concise, dirette e tecnicamente dense con epistemologia verificata.
Direttiva di Sincronizzazione Prompt 1-Click	LEFT	COGNITIVE_RULE	COGNITIVE_RULE	L1	Pulsante di copia rapida delle istruzioni di sistema per collegare qualsiasi LLM esterno al file brain.md e guidare l'ag
Direttiva di Tracciamento del Pensiero Critico AI	LEFT	COGNITIVE_RULE	COGNITIVE_RULE	L1	Regola 4 di brain.md: impone a qualsiasi LLM di distillare non solo i comandi dell'utente ma anche le proprie motivazion
Epistemologia & Divieto Allucinazioni	LEFT	COGNITIVE_RULE	COGNITIVE_RULE	L1	Distinzione rigorosa tra fatti dichiarati ed inferenze; divieto di fabbricare dettagli emotivi o tecnici privi di fonte.
Hierarchical Community Tree as Primary Abstraction	LEFT	COGNITIVE_RULE	COGNITIVE_RULE	L1	Hierarchical Community Tree as Primary Abstraction (Layer: CORE_TAXONOMY, Tipo: ARCHITECTURAL_DECISION)
Regola Cognitiva: Gestione dei Filtri Anti-Injection nei Modelli Web	LEFT	COGNITIVE_RULE	COGNITIVE_RULE	L1	Protocollo di interazione con modelli web: evitare comandi imperativi di rete esterna (es. ordini di POST verso URL terz
Regola dell'Esecuzione Integrale (Zero Placeholder)	LEFT	COGNITIVE_RULE	COGNITIVE_RULE	L1	Divieto tassativo di codice troncato, finto o parziale; ogni soluzione deve essere autosufficiente ed eseguibile.
Regola di Preservazione Episodica delle Conversazioni	LEFT	COGNITIVE_RULE	COGNITIVE_RULE	L1	Direttiva di sistema per raggruppare qualsiasi sessione futura sotto il proprio nodo di episodio tematico con le relativ
Architettura ad Alberi Gerarchici Pesati (Knowledge Tree)	LEFT	DATA_STRUCTURE	DATA_STRUCTURE	L2	Struttura ad albero ponderata sovrapposta al grafo per estrazione gerarchica dei temi: Radice -> Emisferi -> Cluster -> 
Fondamenti Teorici & Coursework UNINA	LEFT	DATA_STRUCTURE	DATA_STRUCTURE	L2	Solida preparazione teorica: strutture dati SetVec/SetLst (Prof. Mogavero), algebra relazionale estesa e S-Programs.
NapoliLive	LEFT	DATA_STRUCTURE	DATA_STRUCTURE	L2	Hub informativo per la valorizzazione del territorio partenopeo con aggregazione eventi in tempo reale.
Patologia: Onicocriptosi (Unghia Incarnita)	LEFT	DATA_STRUCTURE	DATA_STRUCTURE	L2	Condizione patologica in cui il bordo ungueale penetra nel solco ungueale periungueale causando infiammazione, granuloma
Radix / Prefix Trie (O(k) Entity Routing)	LEFT	DATA_STRUCTURE	DATA_STRUCTURE	L2	Radix / Prefix Trie (O(k) Entity Routing) (Layer: PERCEPTUAL_ROUTING, Tipo: LEXICAL_INDEX)
SQLite WAL High-Concurrency Pattern	LEFT	DATA_STRUCTURE	DATA_STRUCTURE	L2	Configurazione di persistenza locale ad alta efficienza per carichi concorrenti senza costi di hosting.
SwiftData Shared Container & Models	LEFT	DATA_STRUCTURE	DATA_STRUCTURE	L2	Storage condiviso tra App principale ed estensione Widget tramite ModelContainer su SQLite WAL con modelli Habit, HabitL
FastAPI & Python ASGI Stack	LEFT	DEPENDENCY	DEPENDENCY	L2	Framework web asincrono ad altissimo throughput per esporre API di memoria e webhook di ingestione per agenti AI.
Flutter & Dart Mobile Architecture	LEFT	DEPENDENCY	DEPENDENCY	L2	Stack di sviluppo mobile multipiattaforma ad alte prestazioni con architettura pulita a blocchi logici (BLoC/Provider).
GitHub Repository Universal-AI-Brain	LEFT	DEPENDENCY	DEPENDENCY	L2	Repository GitHub ufficiale contenente il backend FastAPI, il dashboard vis-network e la memoria SQLite pre-popolata.
Filosofia Ingegneristica a Costo Zero	LEFT	MENTAL_MODEL	MENTAL_MODEL	L1	Progettare sistemi snelli ed efficienti eliminando i costi infrastrutturali fissi tramite tecnologie locali o open-sourc
Modello Centauro (Uomo + AI)	LEFT	MENTAL_MODEL	MENTAL_MODEL	L1	L'AI agisce come moltiplicatore computazionale, mentre l'essere umano detiene il controllo etico, strategico ed estetico
Persistenza Totale del Contesto e dei Pensieri Multi-AI	LEFT	MENTAL_MODEL	MENTAL_MODEL	L1	Principio fondante: preservare integralmente contesto, richieste e deduzioni di tutte le chat con qualsiasi AI affinché 
